word v0 v1 v2 v3 v4 v5
it 0.6196681129506825 0.4869106411342829 0.8648800936817956 1.0 0.6464933990169045 0.580205138793845
had 0.620271998302759 0.4877748785224175 0.8662261743713593 1.0 0.6463884734769058 0.5808778800366978
no 0.6222649827528248 0.48900545206914375 0.8679272104524886 1.0 0.6488902026867764 0.5815829860974014
pictures 0.6240578182414241 0.49357706042067645 0.8658776594323166 1.0 0.6459561742404804 0.5811574432507658
conversations 0.6274763653182903 0.4988892328648381 0.871280939105231 1.0 0.6463261530945537 0.5833093445448759
in 0.6204977110865754 0.4866311923032988 0.8650146505174019 1.0 0.6468834495925587 0.5810009310604765
what 0.6186051979001554 0.48687564007008255 0.8635043356352283 1.0 0.6484055034184214 0.5804617865309544
s 0.6203970651327392 0.4888848491269948 0.8658018756069137 1.0 0.649415120788786 0.581335943745846
use 0.6207159447885545 0.4903282523834068 0.8682928786005892 1.0 0.6507981421998335 0.5829726631350481
a 0.6201227767524174 0.4871203580322857 0.8657284731159389 1.0 0.6472576391032675 0.5808791366849387
thought 0.621934533351087 0.48905637455204565 0.8663323417780155 1.0 0.6466721630257413 0.5800832064553649
without 0.6189759142274612 0.48794816201601554 0.8613140262330238 1.0 0.6456664857173172 0.5811516229418946
conversation 0.6223335477999845 0.4932628173009626 0.8622060427626543 1.0 0.6455751989936072 0.5823694290686856
so 0.6173220136551377 0.48781255429525916 0.8659060395974539 1.0 0.6472554336460594 0.5812610975422903
considering 0.619305863207915 0.4870596777414512 0.8662638068042214 1.0 0.6456043296881858 0.5777616994508271
own 0.6155243044027288 0.4874778249085466 0.8603157180277746 1.0 0.6477391322537827 0.5770379071721686
mind 0.6188023055559887 0.48794442502792595 0.867082505002391 1.0 0.6465944896703572 0.578921911812956
as 0.6220182065561279 0.48859575021416307 0.863957918211058 1.0 0.6465875362725558 0.5802998973172268
well 0.619791320968773 0.48874261191947044 0.8639869596547552 1.0 0.6482829079776572 0.5801599231349396
could 0.617251801268663 0.4849798368742951 0.8652835830770839 1.0 0.6473597882004607 0.5810716223955786
for 0.6183768371019414 0.4864864429336761 0.8651668717716168 1.0 0.647064162002484 0.5805093847815076
hot 0.6160458618293048 0.48744486535272913 0.8647972258261335 1.0 0.6456942360281736 0.5792942141985591
day 0.6187857201056908 0.4935533928598268 0.8666659773102283 1.0 0.6438087937697548 0.5794700837952304
made 0.6165079933416349 0.48944103597222266 0.8628399723048703 1.0 0.646651620674807 0.5822048461027869
feel 0.6167686401844344 0.49033478279637877 0.8656575422174573 1.0 0.6449977088447578 0.5824867357837045
sleepy 0.6201694258818347 0.4898947650284355 0.8655046727850636 1.0 0.6479755548440038 0.5823587074680345
