word WORD_FIXATION_COUNT WORD_GAZE_DURATION WORD_FIRST_FIXATION_DURATION WORD_LAST_FIXATION_DURATION WORD_GO_PAST_TIME WORD_TOTAL_READING_TIME WORD_SKIP
asked 0.2295669140391464 0.23405273044528624 0.4846793382945443 0.4850573338061428 0.14763660888712343 0.2062855589734907 0.43324651778519635
both 0.19618855606758837 0.19078295732707498 0.414093444395302 0.41044406492320973 0.11989940967961027 0.1664313622943636 0.422406462585034
my 0.10157876559388382 0.10571198623236877 0.24047603632523623 0.24348368862047073 0.06722344297371377 0.08704667589304241 0.7131597912057234
friend 0.2360551732845148 0.22318180920114844 0.47073997986971405 0.4741931655988407 0.15271911873529426 0.19992745641532714 0.3416297498978516
poirot 0.2357862868545998 0.23413256374311645 0.48640623425013574 0.48931227710159253 0.14889308288702144 0.20328846509753576 0.33055834263049055
and 0.10219101353465206 0.09780063650484631 0.2197147889230563 0.22334290778096066 0.06496426423959763 0.08102073420523806 0.7021157866595844
family 0.23691756272401435 0.23691338397220751 0.4786194243779384 0.4888093064625613 0.13359091345034046 0.1972212892680415 0.28174603174603174
themselves 0.2365591397849462 0.2250485779897545 0.44815961472308224 0.4495470823678112 0.13206461424637264 0.1829112648619601 0.2857142857142857
to 0.09027589725032718 0.08957901856291862 0.2054442158833234 0.2081135822554114 0.06221101009173139 0.07491863092918895 0.7426290959216394
write 0.22526881720430103 0.21427604074662904 0.45208806329549367 0.45654097324626075 0.13219614451888695 0.18927251964801506 0.4261904761904763
an 0.10652793661265876 0.1072563624689761 0.2434943628823225 0.2467739896176054 0.06756829740768344 0.09199889648211507 0.715785169029444
account 0.2127565982404692 0.22310010545304662 0.4726753604152985 0.48220758246037376 0.148827873456917 0.1849852728941867 0.33679653679653676
whole 0.18974570894276363 0.18763975429576454 0.41015951002826767 0.41665140149537616 0.11171313201610734 0.1569311101533554 0.4526952085181898
story 0.23006026231832685 0.2093143563731799 0.45825423286723604 0.4552534046951573 0.13934349591384407 0.19250736500686122 0.39717425431711156
this 0.18591239782072283 0.18356032279586001 0.39328963688259955 0.3966494817366276 0.11988369273245252 0.1633613516352609 0.5269877901523343
we 0.10560241805681093 0.10688256622648627 0.24102351845997022 0.24580239345222998 0.06709842962055625 0.08894000563417577 0.7039140892853937
trust 0.20679723502304145 0.2201324223383047 0.4693682736252396 0.48040115561708147 0.16476588785869892 0.18101123703326968 0.3903061224489796
will 0.1862754531547201 0.1828441591320872 0.4035672971109376 0.40511002518091965 0.11840419061207491 0.16389233555459481 0.5135601420564504
effectually 0.456989247311828 0.3431666961078726 0.5611971104231167 0.5381644547433466 0.27992656226451285 0.384093504399812 0.21428571428571427
silence 0.2610887096774193 0.2630195369165958 0.5198079869906496 0.5328641374775775 0.17629713323792406 0.22856368989824352 0.2572781385281385
sensational 0.3709677419354838 0.324942589648472 0.6996904024767802 0.6559932589003581 0.207201282420157 0.34560354671861354 0.14285714285714285
rumours 0.2903225806451612 0.303067773656009 0.6156862745098041 0.6409662242820027 0.1899105320125502 0.2732585477262041 0.2619047619047619
still 0.23453267162944583 0.22572030660265954 0.4795929923926386 0.4774630968557959 0.1409038918545504 0.20614429504640525 0.39967481498093743
persist 0.25806451612903225 0.2453630100688924 0.5401444788441693 0.5245418158837161 0.1631386411278721 0.2030630751662524 0.21428571428571427
therefore 0.35806451612903223 0.3312223988694577 0.6139318885448918 0.6002492802471736 0.19771740172907504 0.3302142809162356 0.15357142857142855
briefly 0.2983870967741935 0.301492669139728 0.5489164086687307 0.5886875921634717 0.2502363434584241 0.27319137502518975 0.42857142857142855
set 0.16319648093841643 0.14464999759117406 0.31486255746317665 0.3243503073711627 0.09366674264532789 0.142363990546969 0.6266233766233766
down 0.16392395444086075 0.16184620433970778 0.35771310753313074 0.35795660213840624 0.11641887424309313 0.14179191691137102 0.5439472795324775
circumstances 0.29301075268817206 0.252002002002002 0.5161334709322326 0.4980689558317533 0.2345486182470851 0.23096213698752827 0.14285714285714285
led 0.13709677419354838 0.15837896720249664 0.3646026831785346 0.3540130608805561 0.08447394741529313 0.13221826649649582 0.619047619047619
being 0.2323513866177758 0.2136734638315916 0.46550569973320394 0.4708369562321465 0.13691231380408905 0.201502374381288 0.43736376270938493
connected 0.3387096774193548 0.2938526762056174 0.5856553147574819 0.6145986939119444 0.16866702289448804 0.26892590851078124 0.10714285714285714
with 0.15910074398872295 0.15319867704038437 0.3402405118741261 0.34266029590402614 0.09919192241521073 0.13244318139769617 0.5749497459802634
affair 0.2534946236559139 0.22398133427545194 0.46579979360165125 0.4863878941085598 0.20145779385369994 0.22154340476030537 0.3261904761904762
had 0.14474862931701948 0.1449844988749437 0.3220089837661171 0.3235878863918843 0.09104104748416568 0.12635951807891735 0.6285244036259956
invalided 0.9032258064516129 0.47995053877406824 0.6266253869969041 0.8398988835053718 0.41164864975954624 1.0 0.0
home 0.18368190948836105 0.1844446256210962 0.4060929094984823 0.4038617796780847 0.12671863738492042 0.15929304792070964 0.4704343275771847
from 0.15289149115622971 0.14910334849482923 0.334695742320382 0.3377178414000218 0.09602791851775255 0.12801456883148152 0.5766523113813753
front 0.200652841781874 0.21085633953281013 0.46520590692417324 0.4692525103574188 0.1515795865799976 0.18222074548903325 0.38775510204081637
after 0.21727032635351815 0.20844851559505845 0.4480644119759323 0.4492689750498006 0.1324029645750421 0.18735418908211843 0.4079991645781119
