word IA_FIRST_FIXATION_DURATION IA_FIRST_RUN_DWELL_TIME IA_FIRST_RUN_FIXATION_COUNT IA_DWELL_TIME IA_FIXATION_COUNT IA_SKIP IA_REGRESSION_IN_COUNT IA_REGRESSION_OUT_COUNT IA_REGRESSION_OUT_FULL_COUNT IA_REGRESSION_PATH_DURATION
control 0.5679394564843482 0.24482836641023986 0.3373983739837399 0.2245133034606719 0.32343234323432346 0.3970588235294118 0.2328767123287671 0.325 0.4 0.2707125356156942
music 0.6455968352253183 0.2531514642187601 0.30487804878048785 0.2228298017771702 0.2838283828382838 0.3823529411764706 0.1780821917808219 0.0125 0.0375 0.18194215013470216
on 0.28598856209150325 0.11205556273837997 0.1447154471544716 0.0981506797296271 0.1292079207920792 0.8941176470588239 0.13630136986301367 0.07687499999999999 0.10124999999999998 0.11003447931795249
your 0.42801857585139325 0.17411435774775358 0.233739837398374 0.16073010809852914 0.2277227722772277 0.5735294117647058 0.08904109589041095 0.21250000000000002 0.24375000000000002 0.19554540515970245
phone 0.384717922256622 0.155375266662357 0.20325203252032523 0.1302625249993671 0.1749174917491749 0.6470588235294118 0.0684931506849315 0.075 0.0875 0.16242973868889898
glance 0.617045063639491 0.26011700820996836 0.32926829268292684 0.22050074681653628 0.29042904290429045 0.25 0.0547945205479452 0.18750000000000003 0.2 0.2445481657224581
at 0.304399342583037 0.12563657781512844 0.14679313459801258 0.11465532518164095 0.13714704803813718 0.9395424836601303 0.17199391171993897 0.10972222222222212 0.13055555555555545 0.14652416693459275
face 0.5826883384932922 0.23259422069946348 0.2764227642276423 0.22765246449456977 0.2772277227722772 0.4264705882352941 0.2191780821917808 0.0625 0.125 0.18695329216510162
view 0.6329119367045064 0.25917964962182427 0.2764227642276423 0.26130984025720866 0.29372937293729373 0.3823529411764706 0.0821917808219178 0.175 0.21250000000000002 0.2600028825153272
artist 0.7114723082215343 0.30417286185273773 0.34552845528455284 0.26555023923444976 0.3135313531353135 0.1911764705882353 0.0136986301369863 0.175 0.18750000000000003 0.275590638477145
and 0.22960403459629472 0.09084389978112913 0.12067363530778165 0.07969436578459138 0.1088165959453088 0.9060924369747896 0.08062622309197645 0.04982142857142856 0.06196428571428568 0.09361522855020561
title 0.6415978672170624 0.312916154890426 0.3252032520325203 0.30981494139388877 0.33003300330033003 0.8970588235294117 0.7534246575342466 0.075 0.1375 0.29106752846483885
of 0.2418573667283678 0.09468809611029534 0.12272551296941532 0.08212189122798984 0.10932998061710925 0.9260037348272637 0.10023918243096319 0.07103174603174593 0.09087301587301579 0.10064888270855082
song 0.5835053319573443 0.2715430861723447 0.2642276422764228 0.2818662818662818 0.29042904290429045 0.4852941176470588 0.0 0.55 0.55 0.4579762525083427
na 0.5419178751833142 0.2715048092789994 0.33868207103123665 0.2728296463291847 0.3468241560998206 0.4811661506707945 0.38091804854602246 0.014473684210526336 0.017543859649122834 0.19616761612675912
days 0.5279497764017888 0.2530221733790161 0.3475609756097561 0.24582289055973267 0.3465346534653465 0.3897058823529412 0.273972602739726 0.13125 0.20625000000000002 0.21234714353817669
later 0.4599243206054352 0.18864341586398606 0.2682926829268293 0.19018505860611123 0.2772277227722772 0.4264705882352941 0.17123287671232876 0.0625 0.10625000000000001 0.14861029501435716
british 0.6020811833505333 0.24814144417867995 0.32113821138211385 0.2180957444115339 0.29372937293729373 0.27941176470588236 0.0958904109589041 0.0625 0.075 0.17650971740263197
astronomer 0.8687220502235983 0.4414312495959662 0.4715447154471545 0.3946102630313157 0.4521452145214521 0.08823529411764705 0.1095890410958904 0.0625 0.0875 0.33849599219503546
richard 0.7533539731682147 0.32548968905553044 0.36585365853658536 0.28284094073567756 0.3333333333333333 0.16176470588235295 0.0684931506849315 0.075 0.0875 0.25390525393851376
carrington 0.7407550739594084 0.37479798306289996 0.4471544715447155 0.3244474823422192 0.40264026402640263 0.1764705882352941 0.0958904109589041 0.0375 0.05 0.2678632800807105
was 0.43035573362471935 0.17571765922737315 0.21987087517933998 0.16009311752345803 0.2070471753057659 0.6652249134948099 0.17082997582594658 0.09705882352941167 0.12022058823529401 0.1685267151129235
